FireNum, XStart, YStart, Acres
1, 4533821.00, 3225228.00, 17524.71
2, 4541646.00, 3220362.00, 812.98
3, 4524471.00, 3205913.00, 1875.53
4, 4517817.00, 3227286.00, 1616.07
5, 4546061.00, 3217908.00, 8124.82
6, 4541796.00, 3231213.00, 4363.88
7, 4575780.00, 3220591.00, 3207.43
8, 4552648.00, 3216450.00, 2055.92
9, 4530620.00, 3240992.00, 1658.08
10, 4564648.00, 3231600.00, 3936.39
11, 4527503.00, 3248027.00, 2387.04
12, 4536376.00, 3220584.00, 4526.97
13, 4527594.00, 3217989.00, 8997.11
14, 4578476.00, 3223490.00, 2500.71
15, 4582510.00, 3253923.00, 3484.19
16, 4548383.00, 3262001.00, 74.13
17, 4581968.00, 3259133.00, 1532.05
18, 4519425.00, 3257727.00, 185.33
19, 4520011.00, 3225313.00, 808.03
20, 4535553.00, 3233340.00, 4121.72
21, 4539414.00, 3260255.00, 1868.12
22, 4571310.00, 3245582.00, 2268.43
23, 4552527.00, 3232292.00, 5831.69
24, 4567130.00, 3203781.00, 1924.95
25, 4547579.00, 3214073.00, 3763.41
26, 4518279.00, 3250167.00, 2985.03
27, 4535138.00, 3236840.00, 1680.32
28, 4573347.00, 3222939.00, 4067.35
29, 4569114.00, 3221952.00, 3748.59
30, 4567434.00, 3239440.00, 8327.45
31, 4561052.00, 3201731.00, 800.62
32, 4554870.00, 3218348.00, 3269.20
33, 4554640.00, 3215991.00, 2668.74
34, 4552924.00, 3205146.00, 884.64
35, 4548068.00, 3222741.00, 1401.09
36, 4561995.00, 3211464.00, 5762.50
37, 4550730.00, 3204370.00, 951.36
38, 4555675.00, 3213593.00, 2001.55
39, 4554166.00, 3215139.00, 2532.83
40, 4563384.00, 3220228.00, 2905.96
41, 4530171.00, 3200355.00, 1401.09
42, 4543925.00, 3229281.00, 2322.79
43, 4560266.00, 3206728.00, 1551.82
44, 4551179.00, 3220838.00, 2396.92
45, 4548915.00, 3218325.00, 3874.61
46, 4559004.00, 3211492.00, 5307.82
47, 4571053.00, 3225668.00, 4492.38
48, 4569725.00, 3222772.00, 2698.39
49, 4579951.00, 3250922.00, 1220.70
50, 4561272.00, 3227008.00, 1561.71
51, 4574046.00, 3252016.00, 4381.18
52, 4559678.00, 3198381.00, 2562.48
53, 4526184.00, 3234793.00, 4185.97
54, 4538018.00, 3242793.00, 1653.14
55, 4560772.00, 3225083.00, 2280.78
56, 4521930.00, 3199059.00, 264.40
57, 4585573.00, 3237618.00, 2567.42
58, 4542836.00, 3250982.00, 654.83
59, 4548965.00, 3214438.00, 4872.92
60, 4535532.00, 3230864.00, 3222.25
61, 4562270.00, 3226838.00, 1608.66
62, 4549866.00, 3212426.00, 1667.96
63, 4529324.00, 3232453.00, 2451.29
64, 4554790.00, 3237655.00, 736.37
65, 4577810.00, 3230951.00, 3580.56
66, 4548547.00, 3212063.00, 2644.03
67, 4541073.00, 3201070.00, 1546.88
68, 4583254.00, 3199442.00, 163.09
69, 4537423.00, 3218190.00, 3209.90
70, 4567817.00, 3241026.00, 4687.59
71, 4536272.00, 3197671.00, 924.17
72, 4563826.00, 3208957.00, 2567.42
73, 4536534.00, 3230220.00, 3180.25
74, 4581281.00, 3208182.00, 1398.62
75, 4547368.00, 3211383.00, 3415.00
76, 4530879.00, 3199426.00, 2283.25
77, 4548219.00, 3244275.00, 840.16
